,overall_text,sentiment_results,polarity,subjectivity,sentiment
10,"I am in the electrical field.  I am an Electrical Systems Specialist/Project Manager.  I have worked for an electrical sub contractor, a MEP engineering firm and a BIM consultant firm (this is my current role).  I highly recommend getting into the field especially if you have your journeyman’s.  My “claim to fame” is my ability to create and maintain relationships with not just the BIM guys but also the field guys.  \n\nAs a consultant, I manage about 4-6 projects all over the US at any given time.  I have a team of modelers oversea’s that I lead during the projects.  My days generally consist of modeling, exporting points and sheets, 2D work, coordination, meetings, building and updating models, etc..  The best part of my job is the inconsistency.  One day will be light and the next is non stop.  \n\nI love my job and I work from home about 95% of the time which I love.  If you take a look through my profile you can see my setup that I spend most my days at.  Not much I don’t like about my job.  The only thing that can test me is clients.  Being able to play nice but tell them there is no way in hell I will have a building modeled in an hour is a tight rope to walk.  \n\nI didn’t have a degree when I got into this.  I just got really lucky getting hired by the guy who hired me.  He has taken me under his wing and taught me everything I know.  I went to community college and took classes on the programs (and a ton of math classes but that was more for just me 😂).  I was working towards an associates degree but never finished because I haven’t had the time in the 3 years I have been in this field.  \n\nGood luck to you.  You should give it a go because I think you will really enjoy it.  Also, once you get some experience, drop me a message.  I can get you into an amazing company with a ton of cool people to work with.","{'polarity': 0.2597619047619048, 'subjectivity': 0.5651839826839828, 'sentiment': 'Neutral'}",0.2597619047619048,0.5651839826839828,Neutral
11,"BIM detailer, from the field. Was a journeyman wireman for 10 years, also a total station operator.  The BIM department at our shop consists of BIM detailers and CAD drafters.  The detailers are former field foremen and general foremen.  We draw all systems we would install in the field in a 3D model in Revit, attend coordination meetings with other trades, coordinate directly with field foremen for the jobs we are modeling, and QC shop drawings the CAD guys have produced from our model.  We currently have more work than we have the capacity to handle, so we team up on ""hot"" jobs, and have to bounce back and forth between jobs pretty often.\n\nMy favorite part is putting my headphones on and modeling conduit runs all day, but it's rare that happens.  Usually ill get called over to help a 911 or sit in for a 2 hour teams coordination meeting my boss can't make because he's on another one, or get a call from a foremen who needs help with a drawing I made.  Tons of interruptions, lots of deadlines, high stress, always focused on something, zero ""down"" time.\n\nBut there's free coffee.  Still prefer it to the field, cleaner and less noise.","{'polarity': 0.09192810457516339, 'subjectivity': 0.5512091503267974, 'sentiment': 'Neutral'}",0.09192810457516339,0.5512091503267974,Neutral
12,"We are a commercial mechanical contractor.  Have about 175 employees and have 4 in our BIM dept. \n\nFormer field employees make the best BIM techs/coordinators, whatever you want to call them.  BUT they have to be computer savvy, be efficient and someone you can easily learn Revit. \n\nI’ve been using Revit for about 8 years now.  I’m not from the field but self-taught plumbing/HVAC design within Revit.  \n\nIt takes a special person to do this work.  Have to think out of the box and solve problems. I highly recommend giving it a shot.  Be a self-teacher and read the code books.  You’re responsible for your own learning/development within BIM.","{'polarity': 0.39292517006802724, 'subjectivity': 0.542108843537415, 'sentiment': 'Positive'}",0.39292517006802724,0.542108843537415,Positive
13,"Thank you so very much, excellent read.  Each new post is getting me very excited about this career change.","{'polarity': 0.5412878787878788, 'subjectivity': 0.8098484848484849, 'sentiment': 'Positive'}",0.5412878787878788,0.8098484848484849,Positive
14,Very sound advice!,"{'polarity': 0.65, 'subjectivity': 0.52, 'sentiment': 'Positive'}",0.65,0.52,Positive
15,I can do computer screen. I'm a pc gamer for life! Thanks for the input.,"{'polarity': 0.2, 'subjectivity': 0.2, 'sentiment': 'Neutral'}",0.2,0.2,Neutral
16,"Excellent, thanks for the reply!","{'polarity': 0.625, 'subjectivity': 0.6, 'sentiment': 'Positive'}",0.625,0.6,Positive
17,How usual is it for u structural guys to adjust when MEP trades need more space? \n\nJust curious coz im under the MEP trade and its like trying to solve a rubix cube but with more steps,"{'polarity': 0.1625, 'subjectivity': 0.5625, 'sentiment': 'Neutral'}",0.1625,0.5625,Neutral
18,"Thanks much, I'm located in the US.","{'polarity': 0.2, 'subjectivity': 0.2, 'sentiment': 'Neutral'}",0.2,0.2,Neutral
19,"As long as it's not on a grid or has brace, odds are we can move steel stuff. Otherwise, there's usually a max limit to offset spacing for steel and we can change it for whatever needs to penetrate up/down and miss steel. Depth of steel for horizontal conflict is driven by span, kinda locks in depths of steel. We can maybe squeeze a couple more inches shorter if no other solution.  \n\nConc, conc pan system determines placement and its bit of pain to wiggle everything to conc pan forms. Tiltwalls, go crazy it's all rebar and embeds for us. \n\nWood, I imagine is kinda like steel. I've only done one 5 story metal base/wood project apartment complex and I didn't have any issues with mep.","{'polarity': -0.09107142857142857, 'subjectivity': 0.5464285714285714, 'sentiment': 'Negative'}",-0.09107142857142857,0.5464285714285714,Negative
20,What company would send you abroad?,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
21,[deleted],"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
22,"That’s awesome, I would love to have the opportunity to be sent abroad.\nAnyways, there are 3 types of knowledge. The ones that have the software/apps knowledge, the ones that have the trade knowledge and then the experienced ones that meet in the middle of the previous two. If you are interested just go with it and see where it takes you.","{'polarity': 0.3972222222222222, 'subjectivity': 0.5277777777777778, 'sentiment': 'Positive'}",0.3972222222222222,0.5277777777777778,Positive
23,"Ask the BIM departments of the companies you want to work for which programs they use most predominantly and then find the quickest way in which to learn those applications that comes with certification. I want to say it’s probably Revit and Navisworks but it might be other apps based on your exact market sector, scale & geographic location.\n\nAlso , I suggest trying to leverage the experiences you already have as an engineer and super, which are HIGHLY valuable when combined with a BIM career trajectory. However, if you are to do that , the ‘flavor’ of BIM in the heavy civil market I’m guessing demands a slightly different set of skills. \n\nYour training should take between 3 months to a year based on your aptitude to 3D modeling / BIM analytics.","{'polarity': 0.13119047619047616, 'subjectivity': 0.49023809523809525, 'sentiment': 'Neutral'}",0.13119047619047616,0.49023809523809525,Neutral
24,"If you’re in the realm of civil earthwork, definitely look into Agtek, which is Trimble. Trimble also has a software called Tekla which I’ve personally used for concrete modeling. Autodesk applications for steel and concrete would be Navisworks and Revit. Personally I use Navisworks and Revit for my everyday BIM/VDC subcontractor coordination and like Autodesk better than Trimble but it’s not everybody’s cup of tea in my department. A lot of companies DO use BIM360 or Autodesk Build which is a file sharing service that Autodesk offers, which houses Autodesk Software files “easier” than other file types, but that really depends on the company you work for and what file structure they want/have. There are lots of free youtube tutorials for these softwares, and there are also lots of LinkedIn Learning videos too. The way I learned though was through my company— they had created their own videos for interns to watch and train through so if you do happen to land a job as a designer or intern make sure to ask around for if they have that. Hopefully this is helpful, and good luck!","{'polarity': 0.22500000000000003, 'subjectivity': 0.4759920634920635, 'sentiment': 'Neutral'}",0.22500000000000003,0.4759920634920635,Neutral
25,"Oh also, SketchUp is a fun tool too. If you want to learn how to use that, the best way in my opinion is to practice modeling something you’re familiar with— like you’re house.","{'polarity': 0.5583333333333333, 'subjectivity': 0.3333333333333333, 'sentiment': 'Positive'}",0.5583333333333333,0.3333333333333333,Positive
26,If you have a dwg of the architects floor plan you can export a decimated rcs to align in autocad. Then apply the transformation you find there in recap by updating the origin.  You could do this in navisworks as well.,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
27,At least in the part of the world I’m in the Civil Engineering discipline isn’t really what I’d call a BIM-related discipline.,"{'polarity': -0.04999999999999999, 'subjectivity': 0.30000000000000004, 'sentiment': 'Negative'}",-0.04999999999999999,0.30000000000000004,Negative
28,What part of the world are you in?,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
29,"The US. \n\nOver here Civil engineers use Civil 3D, which is basically an iteration of AutoCAD, which is not a BIM program. \n\nAnd, more specifically, the Civil discipline itself just isn’t a BIM (*Building* Information Modeling) intensive discipline.","{'polarity': 0.5, 'subjectivity': 0.5, 'sentiment': 'Positive'}",0.5,0.5,Positive
30,"Ah, I see.\n\nI work in a multi-disciplinary firm. I'm an Architect and use ARCHICAD, while Civil engineers use 12D and AutoCad. Archicad is a complete BIM software platform, while 12d and Autocad are barely doing anything close to what I can confidently say is BIM. The only BIM component they have in 12D is that they can produce 3d models and export and import IFC files.","{'polarity': 0.09, 'subjectivity': 0.5466666666666666, 'sentiment': 'Neutral'}",0.09,0.5466666666666666,Neutral
31,"I think it’s a business decision at the GC/TC/Client level. I know manufacturers track this at varying degrees but there isn’t necessarily a standard that they are all applying to that data. It would certainly be interesting to be able to run side by side comparisons to help aid in choice selections but it is only one of many factors, though that data could be a limiting factor in specification when the client demands it. I have seen one electrical equipment manufacturer track on the order of 400-500 different data points in relation to embedded carbon and things like conflict material usage.","{'polarity': 0.25, 'subjectivity': 0.5375, 'sentiment': 'Neutral'}",0.25,0.5375,Neutral
32,"I would definitely be interested in that information. We are looking into using tools like EC3, Tally, TallyCAT, and Cove.Tool to investigate our embodied carbon but would prefer to have more open source data to reference regarding EPD's.","{'polarity': 0.25, 'subjectivity': 0.5, 'sentiment': 'Neutral'}",0.25,0.5,Neutral
33,"Hi Steven, \n\nHave a you had a look at [app.2050-materials.com](https://app.2050-materials.com) ?","{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
34,"As a general update to this thread, I sort of found the answer I was looking for [in this research paper](https://www.researchgate.net/publication/343849821_Georeferencing_in_the_context_of_building_information_modelling) which breaks down three approaches to georeferencing. Describes the issue *much* better than I did.\n\n> We introduce three possibilities for spatial interpretation of the geometries and their locations within a BIM model. Option A sees the model as a true-to-scale representation of the asset, option B interprets the model distorted in the same manner as the underlying CRS, and option C is a combination of the former. We explore each option with a case study and visual clues. We show that, while Option A is the most prevalent interpretation in the literature, experts from the infrastructure field prefer Option C, whose underlying rationale is explained in detail.","{'polarity': 0.12777777777777777, 'subjectivity': 0.27341269841269844, 'sentiment': 'Neutral'}",0.12777777777777777,0.27341269841269844,Neutral
35,"All of us in civil engineering work within world coordinates, I’m a road designer in Australia so I work to MGA56 and all surveyors do their work in same georeference. I design of the survey that is sent to me which is always in real coordinates as it’s how we set out roads and tell the contractors where everything is.\n\nWhat you’re talking about in general is a big problem in my field as structural engineers and architects work at 0,0 basically and have to do a process to get it into the correct coordinates when we are getting BIM models coordinated.\n\nNow I don’t really use revit as I don’t do buildings obviously, but revit works differently and is done at project base point 0,0. Revit users have to set the shared coordinates by changing this base point to the coordinates set in the project spec, there’s also a bearing specified that is used to set the correct alignment of the model.\n\nOnce this is done and they export to IFC it will match up with my road design. I can find the tutorial on how it’s done if you want too.\n\nIn your post you talk about how they are using a local grid system, which is fucking stupid in my opinion as everything should be in the world and be in the place where it will be built in real life. But anyway, that would mean every disciple has to transform their date to the project base point.\n\nAs I said before I know how to do this and I know a bunch of shit about this, as a road / utility designer I’m basically doing a bunch of BIM shit as part of my design role so if you have any questions or need to know how to do shit just let me know and I’ll send you stuff.","{'polarity': -0.20367647058823532, 'subjectivity': 0.5713235294117648, 'sentiment': 'Negative'}",-0.20367647058823532,0.5713235294117648,Negative
36,"Ok.. this is a major headache but doable.\nNow lets start with coordinate systems.\n\nThere are different systems regarding coordinates. \nCivil uses mostly UTM32, which is the one used in GPS s for your car etc. BUT! That system is a bit wonky, since it actually squishes the earth a bit like a oval. Thats fine when working with civil where +- 1 cm, is ok. But when working with Engineering models, thats a problem. \n\nThe solution is to get the surveyor to make the coordination file, in a common country specific system. \n\nThey offer greater precision.\n\nNow you have a file with a coordinate system everybody can work in.\nIts very important the all revit models is moved to this point. Look you ""Project Base Point"" to do that.","{'polarity': 0.1020138888888889, 'subjectivity': 0.5104166666666666, 'sentiment': 'Neutral'}",0.1020138888888889,0.5104166666666666,Neutral
37,"Hi,\n\nHere are two videos I did a while back with Dion Moult on this topic. Maybe you can learn at thing or two from them: \n\n1. [https://www.youtube.com/watch?v=rjHiOJKjAYs](https://www.youtube.com/watch?v=rjHiOJKjAYs)\n\n2. [https://www.youtube.com/watch?v=t36cZalPoqw](https://www.youtube.com/watch?v=t36cZalPoqw)  \n\n\nCheers","{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
38,"I usually deal with projects crossing multiple UTM zones which is where these project coordinate systems come about. If you're staying in Microstation it's no big deal, you take the survey and design directly from it. If you're in Revit, just take the survey and set up shared coordinates. But if you're in both...\n\n> The solution is to get the surveyor to make the coordination file\n\nAnd then they start asking all kinds of questions 😄 For a site with existing buildings, I can supply the structural grids/plans (which only considered local units/coordinates) and specify which intersection will be used as base point. Then ask for a survey point which will use in Revit.\n\nDo I have to worry about scaling or is the whole point that civil and buildings are in the same coordinates / same scale and the location + rotation via shared coordinates takes care of everything?\n\nDoes it matter if the original grids are mostly set out in survey feet (aside from just converting the units) while related building grids are simply ""feet"" when they're overlaid? (This is where I imagine calling out a base point helps the surveyor match things until field survey can be performed.)","{'polarity': -0.045000000000000005, 'subjectivity': 0.42714285714285716, 'sentiment': 'Negative'}",-0.045000000000000005,0.42714285714285716,Negative
39,"Haven't caught up on BlenderBIM so this is interesting, but (unless I missed it) doesn't really touch on dealing with *interaction between* horizontal and vertical BIM. Thanks for the links regardless!","{'polarity': 0.31666666666666665, 'subjectivity': 0.3, 'sentiment': 'Positive'}",0.31666666666666665,0.3,Positive
40,"I have created MEP templates like this. I've found it keeps models cleaner and more organized if I give the modellers the toolset I want them to work with, instead of expecting them to create everything from scratch, because results vary according to the modeller's expertise, and we've had to rework A LOT of elements this way.\n\nRevit already has default materials and diameters for Pipes, but usually you have to create the actual Types using that default information. In a template you can use a naming standard, specific parameters, CBS codes, etc. It works wonders, I highly recommend it to optimize your workflows.\n\nBut your template shouldn't just include Pipes, make sure to include Fittings, accessories, equipment, etc, that you need for a Piping model.","{'polarity': 0.13, 'subjectivity': 0.34341269841269845, 'sentiment': 'Neutral'}",0.13,0.34341269841269845,Neutral
41,Look at the Fabrication add-in,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
42,Or services,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
43,Thank you!,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
44,"They reached out to me and I had to interviews. They both went great from what I could tell. Then they completely ghosted me. Won’t return any emails. A simple, thanks but no thanks would be nice.","{'polarity': 0.26666666666666666, 'subjectivity': 0.4845238095238095, 'sentiment': 'Neutral'}",0.26666666666666666,0.4845238095238095,Neutral
45,"If they give you a salary and start date, I’d say you’ve been hired. Otherwise, well, Musk is clearly on top of his game right now.","{'polarity': 0.12857142857142856, 'subjectivity': 0.4785714285714286, 'sentiment': 'Neutral'}",0.12857142857142856,0.4785714285714286,Neutral
46,[removed],"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
47,My friend is head of mech at gigafactory Berlin and he has BIM guys but rather just got my BIM consultancy on their sub contractors list and I occasionally get asked to bid ok work but haven't tried,"{'polarity': 0.25, 'subjectivity': 0.3125, 'sentiment': 'Neutral'}",0.25,0.3125,Neutral
48,All the auto manufacturers do as far as I’m aware.they own lots of space that they reconfigure quite often.,"{'polarity': 0.35, 'subjectivity': 1.0, 'sentiment': 'Positive'}",0.35,1.0,Positive
49,"Their facilities. It's non stop evolving, especially their MEP. My database manager built all of Telsa's BIM Fabrication Revit content for their inhouse BIM team.","{'polarity': 0.0, 'subjectivity': 1.0, 'sentiment': 'Neutral'}",0.0,1.0,Neutral
50,"What do you mean by high quality? \nBest software is synchro or fuzor. But you can do also in navisworks, which will be the simplest to use.","{'polarity': -0.07625, 'subjectivity': 0.61375, 'sentiment': 'Negative'}",-0.07625,0.61375,Negative
51,If you are talking about good quality visuals then use Bentley lumenrt with synchro or fuzor,"{'polarity': 0.7, 'subjectivity': 0.6000000000000001, 'sentiment': 'Positive'}",0.7,0.6000000000000001,Positive
52,"Between Synchro and Fuzor, I think Fuzor is better. For high quality, it is not just about the rendering quality, but also high level of details. Fuzor has a very good equipment animation library to add the construction equipment animation to demonstrate the detailed method statement and site logistics. As for Synchro, it lacks the equipment animation capabilities. It is just super difficult to make any equipment to move and hard to animate.   \n\n\nHere is an example of the Fuzor library: https://www.youtube.com/watch?v=pnPmdzir7sM&list=PLcfi2twSmE9J0wZN-wDMxlMlvENdwSnFM&index=4","{'polarity': 0.20895833333333333, 'subjectivity': 0.6647916666666668, 'sentiment': 'Neutral'}",0.20895833333333333,0.6647916666666668,Neutral
53,If you do not have access to an expensive too you can use Blender with the BlenderBIM Add-on. It's still under development but if you are nerdy you would be surprised at what you can get done with it.,"{'polarity': -0.2, 'subjectivity': 0.8, 'sentiment': 'Negative'}",-0.2,0.8,Negative
54,"Hi! If you purchased a license, those keys can be exchanged for customized training, please DM me so I can further assist you.\n\nHave you checked out learn.bentley.com?","{'polarity': 0.0, 'subjectivity': 0.5, 'sentiment': 'Neutral'}",0.0,0.5,Neutral
55,"Turn back now! Don't go into the light! In seriousness, the online videos are *much* better than they were a year ago (it was even sparser then...) but you should definitely try to attend the Bentley ""Coffee Corner"" webinars they have sometimes. Good place to ask questions that otherwise are hard to get straight answers for.","{'polarity': 0.22976190476190475, 'subjectivity': 0.46309523809523806, 'sentiment': 'Neutral'}",0.22976190476190475,0.46309523809523806,Neutral
56,"In a housing context (Uk) an Asset management system has an asset register that records all the assets (properties etc) their attributes and the key information necessary to manage them. \n\nNot sure if that helps, but thought I’d mention it.","{'polarity': 0.16666666666666666, 'subjectivity': 0.9629629629629629, 'sentiment': 'Neutral'}",0.16666666666666666,0.9629629629629629,Neutral
57,COBie sheet stuffs?\n\nhttps://en.m.wikipedia.org/wiki/COBie,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
58,"COBie will be mentioned a lot which is delivered as an excel spreadsheet. What you should look at it what FM software you use, what file types it can import and then see if you can convert an xls file into that. If not then it will take a bit of extra work to get the info into your FM system","{'polarity': 0.0, 'subjectivity': 0.1, 'sentiment': 'Neutral'}",0.0,0.1,Neutral
59,"I second this guy, COBie is pretty much the standard for asset management. I’ve been using it on new airports lately.","{'polarity': 0.047727272727272736, 'subjectivity': 0.37575757575757573, 'sentiment': 'Neutral'}",0.047727272727272736,0.37575757575757573,Neutral
60,"I think it depends a lot on your background and what you want to do. IFC.js is a javascript package that provides a convenient api for interacting with IFC files. IFC files are a specific standardized and open BIM format, *but* the majority of actual BIM design work is done using software like Archicad or Revit that use their own proprietary file formats. If I was trying to build software for viewing a model on a client's computer or something this could be great, but if I was trying to build software to automatically check for modelling errors in real time, then that course would be less useful since the main thing you would need to know is how to interact with the Revit / Archicad APIs.\n\nIn terms of whether or not the career will be in demand in general though, I know of quite a few major architecture and construction firms that write in house software and I suspect that will only grow over time as the ease of writing software continues to decrease and the demand for quality software tailored to your company's specific workflows increases. \n\nOf course, that being said, writing good BIM software requires a lot of the same general software architecture and coding skillsets that it takes to write any other form of software, so I know that a lot of us who started in BIM software eventually just got poached into the general software development / tech industry since they're usually willing to pay higher salaries than the aec industry, and you may be able to get better training and mentorship for software development there. In general though, software development skills are highly transferable across industries so I wouldn't worry about those skills not being in demand, unless you specifically want to stay in the AEC industry, in which case there's fewer guarantees since it will depend on whether the (relatively) small number of players want to write in house software or not.","{'polarity': 0.15182692307692308, 'subjectivity': 0.43519230769230766, 'sentiment': 'Neutral'}",0.15182692307692308,0.43519230769230766,Neutral
61,"We’d love to get a programmer on our staff. We have goals for packaging some dynamo scripts in a Revit add-in (python?) and some ideas for a Forge app.\n\nEdit: problem is, most programmers are too expensive since we’re competing with other industries.","{'polarity': 0.09375, 'subjectivity': 0.54375, 'sentiment': 'Neutral'}",0.09375,0.54375,Neutral
62,"Hi, I suppose it depends on the kind of company these kind of jobs will be demanded or not.\nBig companies with dozens of modelers and big projects in BIM will invest in developers for making their tasks faster and succes in hard projects.\nAlso for giving services to third parties or new paths of business creating this apps.\nI think is a good field for being freelance for several companies.","{'polarity': 0.21808712121212118, 'subjectivity': 0.4370265151515152, 'sentiment': 'Neutral'}",0.21808712121212118,0.4370265151515152,Neutral
63,"Here is a sample of a current posting that I know of. Take a look at the requirements, (and the salary). See if it gives you some guidance. https://mii.wd5.myworkdayjobs.com/en-US/MiTek/job/Enterprise-Architect---Remote\_R02412","{'polarity': 0.0, 'subjectivity': 0.4, 'sentiment': 'Neutral'}",0.0,0.4,Neutral
64,"Looks  very interesting, do you happen to know any courses or information to get into this? \nI am currently writing in bim/ project coordination and untested to get into doing more logic based work.","{'polarity': 0.3833333333333333, 'subjectivity': 0.5166666666666667, 'sentiment': 'Positive'}",0.3833333333333333,0.5166666666666667,Positive
